96,7,4,2006,2,2,2240
59,3,10,2006,8,8,62060
86,5,43,2006,12,4,40020
57,7,4,2006,1,8,2171
50,2,7,2006,1,7,11908
31,1,46,2006,2,4,60675
5,6,17,2006,9,2,66924
69,5,47,2006,11,8,7963
76,3,21,2006,8,1,13439
46,1,14,2006,6,1,17803
57,7,4,2006,1,1,58055
52,6,17,2006,1,4,34518
4,2,7,2006,5,4,77828
4,2,31,2006,5,7,64245
19,5,47,2006,8,4,14165
41,5,5,2006,8,1,99635
97,4,29,2006,9,7,86353
24,4,30,2006,10,6,84632
4,2,7,2006,7,7,61934
24,4,18,2006,12,3,97202
1,5,47,2006,4,9,39582
33,7,4,2006,5,8,13324
57,7,4,2006,11,1,84319
54,6,44,2006,6,4,16776
31,1,14,2006,5,5,33234
53,6,13,2006,1,3,75260
90,2,7,2006,6,5,39629
81,4,30,2006,3,8,85149
45,5,5,2006,8,1,77499
33,7,27,2006,3,7,63111
39,3,10,2006,1,3,28467
33,7,4,2006,7,7,1638
45,5,43,2006,11,5,52323
48,1,46,2006,1,6,7422
64,2,31,2006,1,7,57888
8,4,29,2006,11,3,6547
90,2,9,2006,2,1,62414
56,6,33,2006,1,5,9109
40,4,30,2006,5,4,90762
94,5,5,2006,12,1,78837
29,6,13,2006,12,1,30560
45,5,43,2006,3,4,31933
45,5,5,2006,10,5,89345
32,3,21,2006,2,4,12585
82,6,33,2006,4,1,52244
63,7,4,2006,12,5,2500
40,4,18,2006,1,5,13744
52,6,12,2006,8,1,75756
39,3,10,2006,7,9,82876
4,2,7,2006,12,7,89911
25,1,37,2006,8,3,21120
63,7,27,2006,8,1,38875
23,3,24,2006,11,6,75699
102,1,37,2006,6,1,58171
46,1,46,2006,1,7,66055
63,7,4,2006,10,2,89136
101,2,9,2006,3,5,81236
92,7,4,2006,1,4,25214
64,2,7,2006,2,9,20661
57,7,27,2006,3,9,44045
101,2,7,2006,5,7,20671
86,5,5,2006,11,6,13495
37,6,13,2006,6,8,74782
39,3,24,2006,1,7,40182
8,4,6,2006,5,6,8405
76,3,21,2006,3,9,87836
57,7,27,2006,9,8,60870
48,1,46,2006,7,2,24882
5,6,33,2006,9,1,94398
23,3,21,2006,9,4,76927
44,3,38,2006,7,3,51849
47,1,37,2006,12,2,77115
59,3,21,2006,7,2,30897
63,7,27,2006,4,5,77072
91,2,7,2006,8,3,44982
59,3,24,2006,3,5,29031
96,7,4,2006,7,1,50563
44,3,38,2006,5,1,67964
48,1,46,2006,10,7,7626
64,2,9,2006,11,7,14620
29,6,12,2006,9,1,96693
56,6,12,2006,7,3,99019
96,7,4,2006,3,9,24626
34,6,13,2006,12,8,29970
72,3,24,2006,4,4,9417
59,3,10,2006,12,9,55395
20,4,6,2006,10,8,59826
43,5,43,2006,6,6,24753
85,2,9,2006,7,1,83958
64,2,9,2006,1,1,3985
58,6,13,2006,2,7,79252
17,4,29,2006,3,5,16354
8,4,29,2006,6,4,23286
41,5,43,2006,1,6,45434
86,5,43,2006,12,8,42887
50,2,9,2006,12,5,46291
86,5,43,2006,4,6,73017
14,1,14,2006,5,8,18369
23,3,24,2006,8,7,93853
91,2,9,2006,1,1,4431
69,5,43,2006,1,8,99040
76,3,24,2006,7,3,59362
63,7,4,2006,11,7,9547
7,4,18,2006,8,5,39699
52,6,13,2006,3,5,99803
25,1,46,2007,3,8,21102
95,5,5,2007,5,5,25303
72,3,24,2007,9,3,96242
1,5,43,2007,9,6,59001
31,1,14,2007,5,2,71838
97,4,40,2007,9,1,41171
57,7,27,2007,6,5,64483
47,1,37,2007,7,8,65943
8,4,18,2007,6,3,9948
96,7,4,2007,9,4,55937
63,7,27,2007,8,4,30479
101,2,9,2007,12,2,18867
103,3,21,2007,1,1,97669
103,3,38,2007,2,6,8129
76,3,38,2007,9,9,32795
71,2,7,2007,12,9,43474
81,4,30,2007,7,5,22871
20,4,29,2007,7,8,11586
7,4,29,2007,5,8,73089
46,1,37,2007,7,8,40216
39,3,24,2007,3,4,50860
63,7,4,2007,10,9,67138
41,5,5,2007,11,1,75502
92,7,27,2007,7,7,94230
96,7,27,2007,12,2,4476
24,4,6,2007,6,8,71863
50,2,7,2007,8,3,87364
47,1,46,2007,7,9,66595
24,4,30,2007,3,8,51227
45,5,43,2007,11,5,75131
61,6,17,2007,3,3,9133
83,6,12,2007,7,7,14377
48,1,46,2007,11,4,66631
94,5,47,2007,1,2,54693
4,2,31,2007,8,3,25973
94,5,5,2007,10,1,33085
24,4,30,2007,8,2,46855
39,3,24,2007,2,6,19880
20,4,30,2007,12,3,2677
92,7,27,2007,7,9,13581
58,6,33,2007,1,2,50929
50,2,7,2007,12,3,70671
63,7,4,2007,11,7,76858
1,5,5,2007,10,2,5574
24,4,6,2007,2,6,65788
102,1,14,2007,5,5,70379
102,1,46,2007,12,4,76028
25,1,14,2007,4,7,99068
57,7,27,2007,12,5,29555
76,3,21,2007,7,7,29287
52,6,17,2007,8,4,33222
53,6,44,2007,3,7,35299
82,6,17,2007,12,7,47331
96,7,27,2007,12,7,59291
45,5,5,2007,7,6,19181
25,1,14,2007,8,5,98502
25,1,46,2007,8,2,85137
65,1,14,2007,12,4,73443
31,1,14,2007,2,5,62221
102,1,14,2007,7,3,89122
91,2,7,2007,2,9,61289
